step,time_s,iterations,max_displacement_m,mass_defect,wall_leakage,continuity,inlet_m3_s,lower_m3_s,upper_m3_s,normalization_scale_m3_s,moving_mass_defect_m3_s,wall_relative_leakage_m3_s,backward_euler_volume_rate_m3_s,total_fluid_surface_outward_flow_m3_s,total_material_surface_outward_flow_m3_s,inlet_pressure_pa,conservation_passed
11,0.54999999999999993,4,1.8203326441938405e-06,0.19024975809281811,0.19024975882075854,1.6884860442890477e-13,-9.5776162859596656e-07,4.7858222405400349e-07,4.7914755496143885e-07,9.9999999999999995e-07,1.902497580928181e-07,1.9024975882075854e-07,3.1848852582827306e-11,1.9024975882092829e-07,3.1849580693011092e-11,34.265847744427305,0
12,0.59999999999999998,4,1.7331706332468877e-06,0.18523539826376018,0.18523540845004891,1.778587209499269e-13,-9.3564241790888913e-07,4.6777762824346384e-07,4.6834900279569482e-07,9.9999999999999995e-07,1.8523539826376018e-07,1.8523540845004891e-07,-4.8422331655641662e-10,1.8523540845022538e-07,-4.8421313009120805e-10,32.135254915624216,0
13,0.65000000000000002,4,1.5660322081044115e-06,0.16983281023669539,0.16983284728021225,2.1736559078849549e-13,-8.7945344091103729e-07,4.399124160262702e-07,4.4046864278370672e-07,9.9999999999999995e-07,1.6983281023669537e-07,1.6983284728021225e-07,-9.2765494245757043e-10,1.6983284728043054e-07,-9.2761789872240848e-10,28.8167787843871,0
14,0.70000000000000007,4,1.3410036304140871e-06,0.14699557422797374,0.14699564160344086,1.483488458019445e-13,-7.9465648508504624e-07,3.9768766843277361e-07,3.9821766644712088e-07,9.9999999999999995e-07,1.4699557422797372e-07,1.4699564160344085e-07,-1.2489171703158563e-09,1.469956416035908e-07,-1.2488497946987744e-09,24.635254915624213,0
15,0.75000000000000011,4,1.0848455981986851e-06,0.12057013726603744,0.12057022417631269,1.4404295712329972e-13,-6.8889465550674325e-07,3.4491213631760813e-07,3.4539916016680877e-07,9.9999999999999995e-07,1.2057013726603743e-07,1.2057022417631268e-07,-1.416727887947505e-09,1.2057022417645575e-07,-1.4166409775291846e-09,19.999999999999989,0
16,0.80000000000000016,2,8.2831863867188192e-07,0.094152828863324961,0.094152916105331413,1.0221388111256508e-13,-5.7176189083851879e-07,2.8637270884075312e-07,2.8680787592558258e-07,9.9999999999999995e-07,9.4152828863324958e-08,9.4152916105331415e-08,-1.4187811698232708e-09,9.4152916105433906e-08,-1.4186939277143227e-09,15.364745084375778,0
17,0.8500000000000002,4,5.9904408253993684e-07,0.070527322655594166,0.070527393533432667,7.9463725930366018e-14,-4.5433232226596911e-07,2.2761588650355947e-07,2.279933176446874e-07,9.9999999999999995e-07,7.0527322655594168e-08,7.052739353343266e-08,-1.2769527601160676e-09,7.0527393533511368e-08,-1.2768818821988706e-09,11.183221215612894,0
18,0.90000000000000024,4,4.1721209819979512e-07,0.05130565984731298,0.051305704748071716,5.3411672538008412e-14,-3.4813900693175915e-07,1.7441717789228661e-07,1.7473712970661442e-07,9.9999999999999995e-07,5.1305659847312974e-08,5.1305704748071714e-08,-1.0153455678997447e-09,5.1305704748124494e-08,-1.0153006670882282e-09,7.8647450843757749,0
19,0.95000000000000029,4,2.9455460360269679e-07,0.037331089507952095,0.037331110306830055,3.8525006451468142e-14,-2.6366361156460251e-07,1.3204224535169409e-07,1.3230948615470804e-07,9.9999999999999995e-07,3.7331089507952096e-08,3.7331110306830056e-08,-6.8814074067696673e-10,3.7331110306868027e-08,-6.881199417610381e-10,5.7341522555726883,0
20,1.0000000000000002,4,2.3466855233134702e-07,0.028963164847374278,0.028963170104844661,2.8898588675305713e-14,-2.0919455469682591e-07,1.0465467930856297e-07,1.0487724986059316e-07,9.9999999999999995e-07,2.8963164847374277e-08,2.896317010484466e-08,-3.3737972980060621e-10,2.896317010487343e-08,-3.3737447230145444e-10,5,1
